Fruit,Summary
Apple,"An apple is a round, edible fruit produced by an apple tree (Malus spp., among them the domestic or orchard apple; Malus domestica) Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found Apples have been grown for thousands of years in Eurasia and were introduced to North America by European colonists Apples have religious and mythological significance in many cultures, including Norse, Greek, and European Christian tradition"
Banana,"A banana is an elongated, edible fruit – botanically a berry – produced by several kinds of large herbaceous flowering plants in the genus Musa In some countries, cooking bananas are called plantains, distinguishing them from dessert bananas The fruit is variable in size, color, and firmness, but is usually elongated and curved, with soft flesh rich in starch covered with a rind, which may have a variety of colors when ripe The fruits grow upward in clusters near the top of the plant Almost all modern edible seedless (parthenocarp) bananas come from two wild species – Musa acuminata and Musa balbisiana"
Cherry,"Common rootstocks include Mazzard, Mahaleb, Colt, and Gisela Series, a dwarfing rootstock that produces trees significantly smaller than others, only 8 to 10 feet (2.5 to 3 meters) tall Irrigation, spraying, labor, and their propensity to damage from rain and hail make cherries relatively expensive The following cultivars have gained the Royal Horticultural Society's Award of Garden Merit: See cherry blossom and Prunus for ornamental trees Richard Guthrie described in 1629, the ""fruitful valley adorned with...great variety of fruit trees, chestnuts, pears, apples, cherries, plums and all other fruits."" The cultivated forms are of the species sweet cherry (P (See ""production"" section for more information on chilling requirements) Cherries have a short growing season and can grow in most temperate latitudes"
Date,"The primary carbohydrates are monosaccharides, comprising glucose (23-30%), fructose (19-28%), and non-starch polysaccharides (7-10%) of the fruit's total weight Since the males are of value only as pollinators, they are usually pruned in favor of fruit-producing female plants Traditionally the female flowers are the most available for sale and weigh 300–400 grams (10+1⁄2–14 oz) Most of those are limited to a particular region, and only a few dozen have attained broader commercial importance Another significant insect pest is Ommatissus lybicus, sometimes called the ""dubas bug"", whose sap sucking results in sooty mould formation"
Grape,"An offset to the improved eating quality of seedlessness is the loss of potential health benefits provided by the enriched phytochemical content of grape seeds (see Health claims, below) These categories are based on their intended method of consumption: grapes that are eaten raw (table grapes), or grapes that are used to make wine (wine grapes) Resveratrol, a stilbene compound, is found in widely varying amounts among grape varieties, primarily in their skins and seeds Anthocyanins and other pigment chemicals of the larger family of polyphenols in purple grapes are responsible for the varying shades of purple in red wines They are harvested at peak sugar levels (approximately 24% sugar by weight.) In comparison, commercially produced ""100% grape juice"" made from table grapes are normally around 15% sugar by weight"
Orange,"It is an efficient cleaning agent with a pleasant smell, promoted for being environmentally friendly and therefore, preferable to petrochemicals Taste quality tends to improve later in harvests when there is a higher sugar/acid ratio with less bitterness It is characterized by streaks of different shades on the leaves, and deformed, poorly colored, unsavory fruit It was considered a luxury food grown by wealthy people in private conservatories, called orangeries The Sanskrit word reached European languages through Persian نارنگ (nārang) and its Arabic derivative نارنج (nāranj)"
Peach,"The peach (Prunus persica) is a deciduous tree first domesticated and cultivated in Zhejiang province of Eastern China It bears edible juicy fruits with various characteristics, most called peaches and others (the glossy-skinned, non-fuzzy varieties), nectarines The specific name persica refers to its widespread cultivation in Persia (modern-day Iran), from where it was transplanted to Europe and in the 16th century to the Americas It belongs to the genus Prunus, which includes the cherry, apricot, almond, and plum, in the rose family The peach is classified with the almond in the subgenus Amygdalus, distinguished from the other subgenera by the corrugated seed shell (endocarp)"
Pear,"Pliny's Natural History recommended stewing them with honey and noted three dozen varieties Quince rootstocks produce smaller trees, which is often desirable in commercial orchards or domestic gardens Raw pear is 84% water, 15% carbohydrates and contains negligible protein and fat (table) caucasica), widely distributed throughout Europe, and sometimes forming part of the natural vegetation of the forests Enclosed within its cellular flesh is the true fruit: 2–5 'cartilaginous' carpels, known colloquially as the ""core"""
Plum,"In terms of nutrition, raw plums are 87% water, 11% carbohydrates, 1% protein, and less than 1% fat Japanese or Chinese plums are large and juicy with a long shelf life and therefore dominate the fresh fruit market Prunocerasus (New World plums) – leaves in bud folded inwards; flowers 3–5 together; fruit smooth, often wax-bloomed Sect Prunus (Old World plums) – leaves in bud rolled inwards; flowers 1–3 together; fruit smooth, often wax-bloomed Sect Without pruning, the trees can reach 12 metres (39 ft) in height and spread across 10 metres (33 ft)"
Watermelon,"Georgia, Florida, Texas, California and Arizona are the United States' largest watermelon producers, with Florida producing more watermelon than any other state Another objective of plant breeders has been the elimination of the seeds which occur scattered throughout the flesh Young growth is densely woolly with yellowish-brown hairs which disappear as the plant ages Leaves are 60 to 200 millimetres (2+1⁄4 to 7+3⁄4 inches) long and 40 to 150 mm (1+1⁄2 to 6 in) wide Charles Fredrick Andrus, a horticulturist at the USDA Vegetable Breeding Laboratory in Charleston, South Carolina, set out to produce a disease-resistant and wilt-resistant watermelon"
